timestamp,reading,device
12/07/2024 11:09,0,export_warehouse_1
12/07/2024 11:09,68,export_warehouse_1
12/07/2024 11:09,0,export_warehouse_1
12/07/2024 11:09,2,export_warehouse_1
12/07/2024 11:10,0,export_warehouse_1
12/07/2024 11:10,10,export_warehouse_1
12/07/2024 11:10,0,export_warehouse_1
12/07/2024 11:10,58,export_warehouse_1
12/07/2024 11:10,0,export_warehouse_1
12/07/2024 11:10,0,export_warehouse_1
12/07/2024 11:10,12,export_warehouse_1
12/07/2024 11:10,0,export_warehouse_1
12/07/2024 11:10,20,export_warehouse_1
12/07/2024 11:10,98,export_warehouse_1
12/07/2024 11:10,0,export_warehouse_1
12/07/2024 11:10,34,export_warehouse_1
12/07/2024 11:10,0,export_warehouse_1
12/07/2024 11:10,84,export_warehouse_1
12/07/2024 11:10,0,export_warehouse_1
12/07/2024 11:10,0,export_warehouse_1
12/07/2024 11:10,0,export_warehouse_1
12/07/2024 11:10,0,export_warehouse_1
12/07/2024 11:10,0,export_warehouse_1
14/07/2024 14:39,10,export_warehouse_1
14/07/2024 14:39,0,export_warehouse_1
14/07/2024 14:39,18,export_warehouse_1
14/07/2024 14:39,38,export_warehouse_1
14/07/2024 14:39,0,export_warehouse_1
14/07/2024 14:41,0,export_warehouse_1
14/07/2024 14:41,0,export_warehouse_1
14/07/2024 14:41,16,export_warehouse_1
14/07/2024 14:41,2,export_warehouse_1
14/07/2024 14:41,2,export_warehouse_1
14/07/2024 14:41,36,export_warehouse_1
14/07/2024 14:42,38,export_warehouse_1
14/07/2024 14:42,0,export_warehouse_1
14/07/2024 14:42,30,export_warehouse_1
14/07/2024 14:42,0,export_warehouse_1
14/07/2024 14:42,0,export_warehouse_1
14/07/2024 14:42,0,export_warehouse_1
14/07/2024 14:42,0,export_warehouse_1
14/07/2024 14:42,38,export_warehouse_1
14/07/2024 14:42,66,export_warehouse_1
14/07/2024 14:42,0,export_warehouse_1
14/07/2024 14:42,-26,export_warehouse_1
14/07/2024 14:42,10,export_warehouse_1
14/07/2024 14:42,36,export_warehouse_1
14/07/2024 14:42,16,export_warehouse_1
14/07/2024 14:42,0,export_warehouse_1
14/07/2024 14:42,0,export_warehouse_1
14/07/2024 14:42,94,export_warehouse_1
14/07/2024 14:42,4,export_warehouse_1
14/07/2024 14:42,0,export_warehouse_1
14/07/2024 14:42,0,export_warehouse_1
14/07/2024 14:43,2,export_warehouse_1
14/07/2024 14:43,96,export_warehouse_1
14/07/2024 14:43,10,export_warehouse_1
14/07/2024 14:43,4,export_warehouse_1
14/07/2024 14:43,0,export_warehouse_1
14/07/2024 14:43,0,export_warehouse_1
14/07/2024 14:43,0,export_warehouse_1
14/07/2024 14:43,18,export_warehouse_1
14/07/2024 14:43,0,export_warehouse_1
14/07/2024 14:43,34,export_warehouse_1
14/07/2024 14:43,70,export_warehouse_1
14/07/2024 14:43,16,export_warehouse_1
14/07/2024 14:43,16,export_warehouse_1
14/07/2024 14:43,34,export_warehouse_1
14/07/2024 14:43,0,export_warehouse_1
14/07/2024 14:43,94,export_warehouse_1
14/07/2024 14:43,58,export_warehouse_1
14/07/2024 14:43,0,export_warehouse_1
14/07/2024 14:43,4,export_warehouse_1
14/07/2024 14:43,0,export_warehouse_1
14/07/2024 14:44,26,export_warehouse_1
14/07/2024 14:44,12,export_warehouse_1
